session_id,1,2,3,4,5,6,7,8,9,10,user
0,60,60,266,39,39,69,162,69,160,183,241
1,310,81,164,168,168,183,164,160,81,43,241
2,39,60,60,266,39,39,193,81,183,164,241
3,310,160,168,61,2,6,3,2,6,3,241
4,2,2603,3,1650,1650,2,3,2832,81,43,241
5,1857,1857,31,3,2,157,1857,1857,3976,5,241
6,2,3,61,61,61,41,2,2,3,2,241
7,103,335,3,335,103,136,335,103,335,2,241
8,10,4,3,4,2,10,3,4,6,6,241
9,21,27,65,10,4,6,30,27,3,65,241
10,21,9,30,9,9,6,4,33,4,4,241
11,4,6,33,4,9,4,9,356,504,2,241
12,10,21,4,3,27,65,3,9,30,3,241
13,2,10,21,27,65,30,9,33,4,4,241
14,4,4,4,4,33,6,4,4,6,9,241
15,39,39,183,310,164,81,168,160,168,183,241
16,164,61,2,469,6,3,2,6,3,31,241
17,136,3,2,59,59,59,43,81,2,2,241
18,1021,31,2,1339,2206,3,3259,1136,3946,3259,241
19,31,2290,5,245,1647,223,518,3249,3,2290,241
20,3249,2290,3,1673,792,1647,31,1673,3963,1673,241
21,31,459,792,210,459,459,905,459,905,172,241
22,459,1673,2193,792,1673,459,245,1702,245,825,241
23,3969,1702,4001,459,245,2835,1702,1868,1189,459,241
24,825,1868,2230,2207,2597,825,3964,245,1183,825,241
25,1702,488,488,415,1702,1187,825,1153,2230,1187,241
26,1868,825,1153,825,1868,825,1187,1183,825,562,241
27,1841,1869,1153,1187,415,13,209,13,1187,1183,241
28,1869,1841,2207,31,533,38,1841,2207,562,562,241
29,1869,1869,415,1153,1153,415,1256,209,533,38,241
30,251,251,908,38,1256,1256,1256,1256,1187,1256,241
31,1187,1841,1187,251,908,19,38,251,908,251,241
32,866,251,908,6,19,3013,1256,13,6,38,241
33,382,382,10,382,128,203,2001,10,382,212,241
34,128,1996,203,5,212,908,908,203,106,518,241
35,545,106,1599,2192,245,3013,106,2,4,3,241
36,10,4,3,2,6,10,4,3,4,6,241
37,6,21,27,65,65,10,21,6,30,27,241
38,9,3,30,4,4,9,33,4,4,4,241
39,6,6,4,33,9,6,4,6,9,9,241
40,9,4,4,4,9,4,4,256,4,4,241
41,9,4,4,4,4,9,4,4,4,4,241
42,4,9,4,4,4,4,9,4,4,4,241
43,9,4,4,4,9,4,4,4,9,4,241
44,4,4,9,4,4,4,9,4,4,4,241
45,9,4,4,4,9,4,4,4,9,4,241
46,4,4,9,4,4,4,9,4,4,4,241
47,9,4,4,4,9,4,4,4,9,4,241
48,4,4,9,4,4,4,9,4,4,4,241
49,9,4,4,4,9,4,4,4,9,4,241
50,4,4,9,4,4,4,9,4,4,4,241
51,9,4,4,4,9,4,4,4,9,4,241
52,4,4,9,60,60,266,81,183,164,168,241
53,310,160,160,168,61,469,2,2,6,3,241
54,2,2,6,3,1205,2201,2,1205,2,1205,241
55,2,1205,2,2,43,81,39,2,39,10,241
56,3,4,6,4,3,10,6,21,6,65,241
57,27,27,10,21,65,30,9,6,3,4,241
58,33,4,30,9,33,6,9,6,24,9,241
59,9,4,24,6,4,2,2,9,2,600,241
60,3,103,2,335,136,3,335,136,9,5,241
61,2,69,49,2,699,59,282,2,31,699,241
62,1048,3,282,1653,989,59,892,482,250,59,241
63,988,892,223,59,699,223,1044,10,59,223,241
64,10,136,3,2234,282,223,282,223,6,9,241
65,2234,2,175,2,31,175,283,119,2,296,241
66,373,2,59,59,59,2,2,628,628,2,241
67,2285,2285,119,526,2285,628,373,628,31,628,241
68,31,373,2,628,628,628,498,498,2,9,241
69,9,2,600,2,3255,3255,628,2,9,2,241
70,335,335,103,2,600,2596,251,174,2,3888,241
71,9,628,174,9,2,9,9,2,59,59,241
72,2,335,103,2,2,335,335,103,335,2,241
73,103,335,2,331,591,64,626,3,435,20,241
74,331,5,344,331,344,2,600,672,331,344,241
75,3,106,672,331,10,106,2118,239,545,3,241
76,2,3,9,2,9,2,9,10,9,9,241
77,9,2,2,59,59,335,103,103,9,103,241
78,9,2,9,60,60,266,210,81,160,310,241
79,168,164,183,168,160,2,6,61,3,61,241
80,6,61,3,2,61,41,2,81,43,39,241
81,39,69,69,162,61,61,549,41,716,61,241
82,61,61,716,41,2,10,3,21,65,27,241
83,6,3,2,9,10,21,4,65,2,27,241
84,9,6,2,10,4,30,3,4,9,33,241
85,4,10,30,4,4,9,6,33,150,150,241
86,150,31,4,4,4,4,9,2,155,3,241
87,21,2,150,150,4,21,65,10,27,356,241
88,31,504,356,2,2,69,162,69,69,162,241
89,69,69,162,69,193,81,164,310,164,160,241
